,Unnamed: 0,RA,Dec,PlateID,MJD,FibreID,z,S_NVSS,Radio_class,S_FIRST,offset,AGN,Main_samp,LERG,HERG,log_L_NVSS,VLASS_tile
19,19,149.169876,-0.02334,267,51608,34,0.13917000000000002,0.166,4,0.0022,0.27,1,1,1,0,24.4131726002227,T10t15
40,40,150.47037,-0.87805,269,51910,257,0.13643,0.151,4,0.0,-1.0,1,1,1,0,24.36287087569784,T10t16
83,83,159.02402999999995,0.10189,273,51957,633,0.09683,0.499,4,0.1099,0.67,1,1,1,0,24.703262302146214,T11t16
86,86,159.78892499999995,-0.78773,274,51913,218,0.09515,0.043,4,0.0,-1.0,1,1,1,0,23.628563718748502,T10t16
88,88,159.43057499999995,-0.65468,274,51913,255,0.09522,0.0091,4,0.0,-1.0,0,1,0,0,22.95456129287695,T10t16
100,100,162.30871499999995,0.99589,275,51910,617,0.10648,0.098,4,0.0031,0.32,1,1,1,0,24.049539338806078,T11t17
130,130,170.33298,-0.22246,279,51608,34,0.10103,0.696,4,0.0,-1.0,1,1,1,0,24.871843077302408,T10t18
165,165,178.80688499999997,-0.5261,284,51662,114,0.13218,0.152,4,0.0,-1.0,1,1,1,0,24.350849050514803,T10t18
168,168,177.578025,-0.60869,284,51662,280,0.13853,0.0119,4,0.0,-1.0,1,1,0,0,23.266498515761707,T10t18
182,182,179.92342499999995,-0.53164,285,51663,190,0.17823,0.052000000000000005,4,0.0028,1.16,1,1,1,0,24.010303637905,T10t18
551,551,179.39986499999995,-3.24473,331,52368,293,0.26809,0.0218,4,0.0,-1.0,1,1,1,0,23.738133855756463,T10t18
552,552,179.97679499999995,-1.3523,331,52368,406,0.37378,0.091,4,0.0,-1.0,1,0,0,1,24.37354220904102,T10t18
1574,1574,132.76960799999998,0.5385800000000001,467,51901,78,0.33655,0.0292,4,0.0084,1.57,1,0,1,0,23.88302049991644,T11t14
1580,1580,131.41302449999998,-0.51042,467,51901,210,0.15545,0.0367,4,0.0037,1.72,1,1,1,0,23.8060433091591,T10t14
1588,1588,131.284806,1.08164,467,51901,479,0.2671,0.0239,4,0.0017,2.2,1,0,1,0,23.77752102781796,T11t14
1627,1627,137.54812649999997,1.65105,471,51924,119,0.2842,0.102,4,0.0023,0.42,1,1,1,0,24.41594802589551,T11t14
1670,1670,142.64814750000002,0.8321200000000001,475,51965,125,0.3191,0.0072,4,0.0,-1.0,1,0,0,0,23.27371103116835,T11t15
1701,1701,146.179947,2.79836,480,51989,367,0.22041,0.334,4,0.0,-1.0,1,1,1,0,24.88353746345397,T11t15
1777,1777,148.91447399999996,1.59678,500,51994,232,0.09864,0.1443,4,0.0331,1.52,1,1,1,0,24.174989018397287,T11t15
1817,1817,158.21023499999995,2.6413900000000003,504,52316,627,0.12604,0.054000000000000006,4,0.0026,0.92,1,1,1,0,23.87836219938015,T11t16
1828,1828,159.65263499999998,1.29708,506,52022,292,0.12853,0.3176,4,0.0,-1.0,1,1,1,0,24.65741818578351,T11t16
1830,1830,160.63064999999997,2.6196,506,52022,485,0.18699,0.11,4,0.0,-1.0,1,1,1,0,24.352344028552945,T11t17
1854,1854,167.01115499999997,2.7671,509,52374,422,0.15774000000000002,0.094,4,0.0,-1.0,1,1,1,0,24.22053493727148,T11t17
2381,2381,131.16873149999998,3.4416300000000004,564,52224,402,0.14862999999999998,0.033,4,0.0053,1.31,1,1,1,0,23.74086412816185,T11t14
2386,2386,134.1084285,2.22805,565,52225,97,0.12474,0.0123,4,0.0,-1.0,1,1,1,0,23.23074950903872,T11t14
2411,2411,138.40507499999998,3.2890300000000003,567,52252,233,0.14163,0.11,4,0.0,-1.0,1,1,1,0,24.242418151752005,T11t14
2431,2431,142.74476549999997,3.80771,568,52254,624,0.08897999999999999,0.111,4,0.008,0.65,1,1,1,0,24.001107894402686,T11t15
2440,2440,144.23280299999996,3.71724,569,52264,560,0.16194,0.0338,4,0.0028,0.5,1,1,1,0,23.7869412971847,T11t15
2465,2465,150.08002499999995,3.13221,572,52289,90,0.41473,0.0103,4,0.0,-1.0,1,0,0,0,23.416520266949657,T11t16
2468,2468,149.49719249999995,3.45717,572,52289,229,0.16533,0.669,4,0.0,-1.0,1,1,1,0,25.09162151991683,T11t15
2473,2473,150.36980999999997,4.57699,572,52289,550,0.22153,0.096,4,0.0,-1.0,1,1,1,0,24.343354730822426,T12t16
2485,2485,151.44628500000002,4.06812,573,52325,476,0.36342,0.0131,4,0.0,-1.0,1,0,1,0,23.53336111669463,T12t16
2494,2494,152.39466000000002,4.29669,574,52355,352,0.2405,0.062,4,0.001,0.23,1,1,1,0,24.17254505226355,T12t16
2532,2532,159.86758499999996,5.60379,577,52367,575,0.09082,0.5720000000000001,4,0.0,-1.0,1,0,1,0,24.72530612819386,T12t16
2537,2537,159.91574999999997,3.54274,578,52339,285,0.18217,0.0183,4,0.0018,0.56,1,1,1,0,23.564467963730344,T11t16
2544,2544,163.437855,3.53844,579,52338,56,0.23544,0.188,4,0.0215,1.96,1,1,1,0,24.649720891903637,T11t17
2570,2570,167.60457,3.36078,581,52356,49,0.029960000000000007,0.5874,4,0.0,-1.0,1,1,1,0,23.965245242467518,T11t17
4340,4340,172.35051,3.99476,837,52642,242,0.35741,0.0109,4,0.0,-1.0,1,0,1,0,23.454197241967076,T11t18
4351,4351,175.53718499999997,4.62599,838,52378,109,0.15925999999999998,0.2142,4,0.002,0.5,1,1,0,1,24.58213395415965,T12t18
4362,4362,175.29924,5.73474,838,52378,459,0.09743,0.484,4,0.0,-1.0,1,1,1,0,24.693540154956512,T12t18
4371,4371,177.51718499999996,4.58097,839,52373,67,0.1325,0.0345,4,0.0,-1.0,1,1,1,0,23.70797466179653,T12t18
4372,4372,176.946195,3.81074,839,52373,97,0.2674,0.0201,4,0.0034,1.46,1,1,0,0,23.702488196209075,T11t18
5785,5785,140.54852249999996,5.84247,991,52707,507,0.33691,0.0139,4,0.0083,0.09,1,0,1,0,23.560658454377002,T12t15
5790,5790,141.20437649999997,6.04524,991,52707,577,0.23057,0.0869,4,0.003,0.52,1,1,1,0,24.30983377697392,T12t15
5810,5810,146.3266755,5.91484,993,52710,545,0.30013,0.0069,4,0.0,-1.0,1,0,1,0,23.251498913906783,T12t15
5837,5837,153.58001999999996,7.3696899999999985,997,52734,327,0.3459,0.036000000000000004,4,0.0032,1.56,1,0,1,0,23.973850832477268,T12t16
5866,5866,159.09553499999996,6.15083,1000,52643,298,0.28796,0.0173,4,0.0013,1.98,1,0,0,0,23.646839090301718,T12t16
5890,5890,163.71713999999997,7.66845,1001,52670,613,0.10968,0.123,4,0.0028,1.6,1,1,1,0,24.164250162490287,T12t17
5895,5895,163.77225,5.91489,1002,52646,296,0.17287,0.161,4,0.0013,0.78,1,1,1,0,24.489997052516326,T12t17
5919,5919,166.38355499999997,7.62528,1004,52723,353,0.15473,0.0427,4,0.0037,0.48,1,1,1,0,23.869873017522263,T12t17
6615,6615,126.1632,3.74087,1185,52642,167,0.35421,0.1096,4,0.0022,0.53,1,0,0,0,24.456868396126538,T11t13
6620,6620,125.69847899999996,4.2972199999999985,1185,52642,423,0.09541,0.132,4,0.0024,0.73,1,1,1,0,24.117244116401725,T12t13
6631,6631,129.23278799999997,5.54502,1186,52646,613,0.09927,0.055,4,0.0165,1.55,1,1,0,1,23.759694020312352,T12t13
6645,6645,131.680344,3.97975,1188,52650,51,0.32309,0.0163,4,0.0,-1.0,1,0,1,0,23.629027056100906,T11t14
6668,6668,137.02421549999997,6.10418,1191,52674,25,0.15618,0.0211,4,0.0,-1.0,1,1,1,0,23.567600803517784,T12t14
6696,6696,137.93472299999996,6.16932,1194,52703,242,0.17556,0.056,4,0.0011,2.31,1,1,1,0,24.03703794816111,T12t14
6711,6711,139.55549549999998,7.15335,1195,52724,304,0.42875,0.058,4,0.0014,1.39,1,0,1,0,24.161963111951717,T12t14
6964,6964,166.57091999999997,8.97591,1220,52723,37,0.08502,0.043,4,0.0094,1.92,1,1,1,0,23.56190607189599,T13t17
6976,6976,165.52823999999995,9.92808,1220,52723,584,0.20055,0.0251,4,0.0023,0.71,1,1,0,0,23.733019421322552,T13t17
6979,6979,167.69924999999995,8.40138,1221,52751,118,0.26082,0.0225,4,0.0,-1.0,1,1,1,0,23.747551207220827,T13t17
6984,6984,166.33808999999997,10.02263,1221,52751,369,0.39721,0.0258,4,0.0047,0.71,1,0,1,0,23.82075299095648,T13t17
6986,6986,166.57603500000002,10.2773,1221,52751,388,0.12227,0.021,4,0.0,-1.0,1,1,1,0,23.45307748490933,T13t17
7044,7044,178.49532,9.65829,1227,52733,184,0.10279,0.672,4,0.0025,0.22,1,1,1,0,24.866249636765804,T13t18
7049,7049,179.04886499999995,10.31901,1227,52733,505,0.10181,0.0246,4,0.0083,0.99,1,1,1,0,23.42447515350229,T13t18
7141,7141,154.06019999999995,8.25393,1237,52762,105,0.17662,0.0391,4,0.0078,0.57,1,1,0,0,23.88321235827437,T13t16
7148,7148,153.03250499999996,8.70978,1237,52762,428,0.09527,0.0111,4,0.0012,0.93,1,1,0,1,23.041145911818738,T13t16
7149,7149,153.02665499999995,8.69253,1237,52762,433,0.09844,0.21,4,0.0343,0.3,1,1,1,0,24.336789198835703,T13t16
7156,7156,154.80094499999996,8.07998,1238,52761,296,0.08653999999999999,0.0403,4,0.0053,0.89,1,1,1,0,23.544448515522408,T13t16
7160,7160,154.53013499999997,9.21437,1238,52761,398,0.27772,0.0258,4,0.0023,0.2,1,0,1,0,23.81617867367657,T13t16
7162,7162,155.84426999999997,8.86699,1238,52761,550,0.0626,0.184,4,0.0119,0.58,1,1,1,0,23.997168028541388,T13t16
7172,7172,160.85081999999997,8.5514,1240,52734,28,0.28494,0.091,4,0.0,-1.0,1,0,0,0,24.366683511510292,T13t17
7514,7514,125.87677799999996,6.1051,1296,52962,149,0.39532,0.0259,4,0.0,-1.0,1,0,0,0,23.822950977585784,T12t13
7552,7552,135.3365025,8.16428,1300,52973,267,0.36199,0.0149,4,0.0058,0.16,1,0,1,0,23.58945457565195,T13t14
7561,7561,138.8325045,8.56493,1301,52976,177,0.25795,0.0368,4,0.0073,0.55,1,1,1,0,23.959359330779108,T13t14
7593,7593,146.90403749999996,9.128,1305,52757,106,0.29232,0.048,4,0.0044,1.68,1,0,1,0,24.091556983654236,T13t15
7615,7615,147.28675799999996,10.86064,1306,52996,336,0.27272,0.0297,4,0.0015,1.73,1,0,0,0,23.874894362683285,T13t15
7628,7628,151.23618000000002,9.78537,1307,52999,67,0.16147,0.068,4,0.0064,2.82,1,1,1,0,24.089373007927467,T13t16
7637,7637,149.59211699999997,10.4464,1307,52999,397,0.07727,0.0054,4,0.0,-1.0,0,1,0,0,22.601793785229397,T13t15
9678,9678,154.08418499999996,10.2162,1597,52999,150,0.41806,0.158,4,0.0,-1.0,1,0,0,1,24.60117795423437,T13t16
9722,9722,162.18098999999995,11.13399,1601,53115,143,0.15697,0.2384,4,0.0032,0.18,1,1,1,0,24.622705218076714,T13t17
9788,9788,174.653115,11.3501,1607,53083,44,0.18203,0.013,4,0.0021,1.27,1,1,1,0,23.415692528132737,T13t18
9791,9791,175.11557999999997,12.05231,1607,53083,105,0.08115,1.625,4,0.0303,0.36,1,1,1,0,25.11078251089744,T14t18
9807,9807,175.72623000000002,11.0258,1608,53138,209,0.15371,0.1645,4,0.0373,1.57,1,1,1,0,24.452843659522557,T13t18
9813,9813,177.71399999999997,11.13145,1609,53142,41,0.30497,0.021,4,0.0,-1.0,1,0,0,0,23.73607316680893,T13t18
9886,9886,169.79641499999997,8.26107,1617,53112,450,0.07557,0.08,4,0.0139,0.89,1,1,1,0,23.75844842561195,T13t17
9893,9893,172.47723,6.88675,1618,53116,159,0.11624,0.046,4,0.0,-1.0,1,1,1,0,23.767778572963266,T12t18
