recno,RA,DEC,Name,z,n_z,nR,B-V,U-B,Vmag,n_Vmag,r_Vmag,n_RAh,Sp,r_Sp,Sp2,r_Sp2,FC,RA1950,DE1950
1,0.05291666666666666,-0.24277777777777776,Q 2357-005A,2.83,*,*,,,18.0," ",0," ",Q,2457," G",2142,2457,359.41208333333327,-0.5211111111111111
2,0.11041666666666665,1.2333333333333332,Q 2357+009,3.05,*,*,,,17.0," ",0," ",Q,2456," *",2142,2455,359.4695833333333,0.9549999999999998
3,0.14708333333333332,-0.856111111111111,Q 2358-011,3.22,*,*,,,17.5," ",0," ",Q,2457," *",2142,2457,359.50624999999997,-1.1344444444444444
4,0.2558333333333333,3.2363888888888885,Q 2358+029A,3.13,*,*,,,17.5," ",0," ",Q,2456," *",2142,2455,359.61499999999995,2.958055555555555
5,0.30374999999999996,0.7452777777777777,Q 2358+004,2.94,*,*,,,17.0," ",0," ",Q,2456," *",2142,2455,359.6629166666666,0.4669444444444444
6,0.3191666666666666,0.035277777777777776,UM 194,0.78," ",*,,,19.1,O,0,O,Q,1729," *",1133,1287,359.6783333333333,-0.24305555555555552
7,0.5404166666666665,2.9066666666666663,Q 2359+026,3.14,*,*,,,17.0," ",0," ",Q,2456," *",2142,2455,359.8995833333333,2.628333333333333
8,1.1991666666666665,2.4877777777777776,Q 0002+022,3.17,*,*,,,18.0," ",0," ",Q,2453," *",2142,2453,0.5583333333333332,2.2094444444444443
9,1.2991666666666666,3.326666666666666,Q 0002+030A,3.15,*,*,,,18.5," ",0," ",Q,2453," *",2142,2453,0.6583333333333332,3.048333333333333
10,1.4866666666666666,1.4255555555555555,Q 0003+011B,3.17,*,*,,,18.0," ",0," ",Q,2453," *",2142,2453,0.8458333333333332,1.1472222222222221
11,1.6366666666666665,1.4880555555555555,Q 0003+012B,3.12,*,*,,,18.0," ",0," ",Q,2453," *",2142,2453,0.9958333333333332,1.2097222222222221
12,1.6708333333333332,-0.14583333333333331,Q 0004-004,3.12,*,*,,,17.5," ",0," ",Q,2454," *",2142,2454,1.0299999999999998,-0.42416666666666664
13,1.7216666666666665,1.7655555555555553,Q 0004+014,3.17,*,*,,,18.5," ",0," ",Q,2453," *",2142,2453,1.080833333333333,1.487222222222222
